kategory,kelas,cover_buku,judul_bab,subjudul_bab,abstrak,use_case,materi,soal,link
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Eksponen,"['Eksponen', 'Sifat-sifat Eksponen', 'Fungsi Eksponential', 'Bentuk Akar']","Bab ini berfokus pada pemahaman mendalam tentang konsep eksponen, mulai dari definisi dasar hingga penerapannya dalam grafik fungsi dan hubungan antara pangkat pecahan dengan bentuk akar.","['Pertumbuhan Penduduk: Memprediksi jumlah penduduk di masa depan menggunakan fungsi eksponensial.', 'Peluruhan Zat Radioaktif: Menghitung sisa massa zat kimia yang meluruh seiring waktu (fisika/kimia).', 'Arsitektur: Penggunaan bentuk akar dalam perhitungan presisi dimensi bangunan.']","['Definisi Eksponen: Eksponen adalah bentuk perkalian berulang dari suatu bilangan yang sama. Jika a adalah bilangan real dan n adalah bilangan bulat positif, maka a^n adalah perkalian a sebanyak n faktor.', 'Sifat-sifat Eksponen: Mencakup aturan dasar operasi hitung, seperti perkalian (a^m*a^n=a^{m+n), pembagian (a^m : a^n=a^{m-n), perpangkatan pangkat ((a^m)^n=a^{m*n), serta sifat pangkat nol (a^0=1) dan pangkat negatif.', 'Fungsi Eksponensial: Fungsi yang memetakan setiap x ke f(x)=a^x dengan a>0 dan a \\neq 1. Materi ini membahas karakteristik grafik fungsi eksponen (kurva mulus) baik yang bertumbuh maupun yang meluruh.', 'Bentuk Akar: Mempelajari hubungan eksponen dengan akar, di mana sqrt[n]{a^m=a^{/m{n. Termasuk cara menyederhanakan bentuk akar dan merasionalkan penyebut pada pecahan.']","['Hasil dari (2^3 x 2^2)^2 adalah...', 'a. 2^7', 'b. 2^{10', 'c. 2^{12', 'd. 2^{24', 'Bentuk sederhana dari sqrt{75 adalah...', 'a. 5sqrt{2', 'b. 5sqrt{3', 'c. 3sqrt{5', 'd. 25sqrt{3', 'Jika 5^x=125, maka nilai x adalah...', 'a. 2', 'b. 3', 'c. 4', 'd. 5']",https://buku.kemendikdasmen.go.id/katalog/Matematika-untuk-SDMI-Kelas-I 
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Barisan dan Deret,"['Barisan (Aritmetika dan Geometri)', 'Deret (Aritmetika dan Geometri)', 'Bunga (Tunggal dan Majemuk)']","Bab ini membahas pola bilangan yang tersusun secara sistematis. Siswa akan mempelajari perbedaan antara barisan (urutan bilangan) dan deret (jumlah suku-suku), serta bagaimana konsep ini diterapkan dalam perhitungan finansial seperti bunga bank dan pertumbuhan nilai aset.","['Tabungan Bank: Menghitung saldo akhir tabungan dengan bunga majemuk setelah beberapa tahun.', 'Produksi Industri: Memprediksi jumlah total produksi barang jika setiap bulan terjadi kenaikan produksi yang tetap (Aritmetika).', 'Investasi: Menghitung nilai investasi masa depan menggunakan konsep bunga tunggal dan majemuk.']","['Barisan: Penjelasan mengenai Barisan Aritmetika (memiliki selisih/beda yang tetap, b=U_n-U_{n-1) dan Barisan Geometri (memiliki perbandingan/rasio yang tetap, r=/U_n{U_{n-1).Termasuk rumus mencari suku ke-n (U_n).', 'Deret: Mempelajari penjumlahan dari suku-suku barisan. Deret Aritmetika digunakan untuk mencari total jumlah hingga suku tertentu (S_n), begitu juga dengan Deret Geometri. Pembahasan juga mencakup Deret Geometri Tak Hingga.', 'Bunga: Penerapan barisan dan deret dalam ekonomi. Bunga Tunggal dihitung berdasarkan modal awal (linier/aritmetika), sedangkan Bunga Majemuk dihitung berdasarkan modal yang sudah berbunga (eksponensial/geometri).']","['Suku ke-10 dari barisan aritmetika 2, 5, 8, 11, ... adalah...', 'a. 27', 'b. 29', 'c. 31', 'd. 33', 'Rasio dari barisan geometri 3, 6, 12, 24, ... adalah...', 'a. 2', 'b. 3', 'c. 4', 'd. 6', 'Rumus suku ke-n (U_n) untuk barisan aritmetika adalah...', 'a. a*r^{n-1', 'b. a+(n-1)b', 'c./n{2(a+U_n)', 'd. a+nb']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Perbandingan Trigonometri,"['Perbandingan Trigonometri', 'Pemanfaatan Perbandingan Trigonometri']","Bab ini memperkenalkan konsep dasar perbandingan sudut pada segitiga siku-siku. Siswa akan mempelajari definisi sinus, cosinus, dan tangen serta bagaimana menggunakan perbandingan tersebut untuk menghitung panjang sisi atau besar sudut yang tidak diketahui dalam berbagai situasi praktis.","['Navigasi Pelayaran: Menentukan jarak kapal ke mercusuar dengan mengukur sudut elevasi.', 'Arsitektur & Konstruksi: Menghitung kemiringan atap rumah atau panjang tangga yang dibutuhkan untuk mencapai ketinggian tertentu.', 'Astronomi: Mengukur jarak benda langit sederhana menggunakan metode paralaks (sudut pandang).']","['Perbandingan Trigonometri: Pembahasan mengenai tiga rasio utama pada segitiga siku-siku terhadap sudut tertentu (\\theta): Sinus (depan/miring), Cosinus (samping/miring), dan Tangen (depan/samping). Materi ini juga mencakup pengenalan sudut-sudut istimewa (0^\\circ, 30^\\circ, 45^\\circ, 60^\\circ, 90^\\circ).', 'Pemanfaatan Perbandingan Trigonometri: Fokus pada penerapan klinometer untuk mengukur tinggi objek (seperti gedung atau pohon) tanpa harus memanjatnya. Siswa belajar membedakan antara Sudut Elevasi (melihat ke atas) dan Sudut Depresi (melihat ke bawah) dalam penyelesaian masalah kontekstual.']","['Pada segitiga siku-siku, perbandingan sisi depan dengan sisi miring disebut...', 'a. Cosinus', 'b. Tangen', 'c. Sinus', 'd. Cotangen', 'Nilai dari \\sin 30^\\circ adalah...', 'a./1{2', 'b./1{2sqrt{2', 'c./1{2sqrt{3', 'd. 1', 'Jika \\tan \\theta=1, maka besar sudut \\theta adalah...', 'a. 30^\\circ', 'b. 45^\\circ', 'c. 60^\\circ', 'd. 90^\\circ']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Sistem Persamaan dan Pertidaksamaan Linear,"['Sistem Persamaan Linear (Dua dan Tiga Variabel)', 'Sistem Pertidaksamaan Linear']","Bab ini membahas cara mencari solusi dari beberapa persamaan atau pertidaksamaan linear yang muncul secara bersamaan. Siswa akan belajar metode eliminasi dan substitusi untuk menemukan titik potong (solusi), serta cara menentukan daerah penyelesaian pada sistem pertidaksamaan.","['Analisis Bisnis: Menghitung jumlah kombinasi produk yang harus dijual untuk mencapai titik impas (break-even point).', 'Logistik: Menentukan kapasitas maksimal pengiriman barang dengan batasan volume dan berat tertentu (Program Linear Dasar).', 'Nutrisi: Menyusun komposisi bahan makanan agar memenuhi standar kalori minimum dengan biaya terendah.']","['Sistem Persamaan Linear: Berfokus pada Sistem Persamaan Linear Dua Variabel (SPLDV) dan Tiga Variabel (SPLTV). Materi mencakup teknik penyelesaian menggunakan metode Grafik, Substitusi, dan Eliminasi. Solusi yang didapat merupakan nilai (x, y) atau (x, y, z) yang memenuhi semua persamaan.', 'Sistem Pertidaksamaan Linear: Membahas hubungan linear menggunakan tanda ketidaksamaan (<,>,<=q,>=q). Fokus utamanya adalah menentukan Daerah Himpunan Penyelesaian (DHP) pada koordinat Kartesius dengan bantuan uji titik atau teknik arsiran.']","['Himpunan penyelesaian dari x+y=5 dan x-y=1 adalah...', 'a. (2, 3)', 'b. (3, 2)', 'c. (4, 1)', 'd. (1, 4)', 'Manakah di bawah ini yang merupakan pertidaksamaan linear?', 'a. x^2+2y<=q 5', 'b. 3x+y=10', 'c. 2x-5y>12', 'd. xy<4', 'Jika 2x>10, maka nilai x yang memenuhi adalah...', 'a. x<5', 'b. x>5', 'c. x=5', 'd. x>20']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Persamaan dan Fungsi Kuadrat,"['Persamaan Kuadrat', 'Fungsi Kuadrat']","Bab ini membahas tentang persamaan polinomial berderajat dua. Siswa akan belajar cara mencari akar-akar persamaan kuadrat melalui berbagai metode, serta memahami karakteristik grafik fungsi kuadrat (parabola), termasuk titik puncak, sumbu simetri, dan arah keterbukaan grafik.","['Gerak Parabola: Menghitung lintasan bola yang ditendang atau peluru yang ditembakkan.', 'Arsitektur: Merancang bentuk lengkungan pada jembatan atau kubah bangunan.', 'Optimasi Bisnis: Menentukan harga jual produk untuk mendapatkan keuntungan maksimal menggunakan titik puncak fungsi.']","['Persamaan Kuadrat: Bentuk umum ax^2+bx+c=0. Materi fokus pada cara menentukan akar-akar (x_1 dan x_2) menggunakan metode Faktorisasi, Melengkapkan Kuadrat Sempurna, dan Rumus ABC. Juga membahas peran Diskriminan (D=b^2-4ac) dalam menentukan jenis akar.', 'Fungsi Kuadrat: Bentuk umum f(x)=ax^2+bx+c. Mempelajari cara menggambar grafik parabola. Jika a>0 grafik terbuka ke atas, jika a<0 terbuka ke bawah. Menentukan Titik Puncak (x_p, y_p) dan Sumbu Simetri.']","['Akar-akar dari persamaan kuadrat x^2-5x+6=0 adalah...', 'a. x=-2 atau x=-3', 'b. x=2 atau x=3', 'c. x=1 atau x=6', 'd. x=-1 atau x=-6', 'Jika nilai Diskriminan (D) dari suatu persamaan kuadrat adalah nol (D=0), maka persamaan tersebut memiliki...', 'a. Dua akar real yang berbeda', 'b. Tidak memiliki akar real', 'c. Dua akar real yang kembar (sama)', 'd. Akar imajiner', 'Titik potong grafik fungsi f(x)=x^2-4 dengan sumbu Y adalah...', 'a. (0, 4)', 'b. (4, 0)', 'c. (0,-4)', 'd. (-4, 0)']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Representasi dan Interpretasi Data,"['Representasi Data (Diagram Garis, Batang, dan Pie)', 'Statistik Deskriptif (Mean, Median, Modus, Kuartil)', 'Representasi Data Lanjutan (Box Plot, Histogram, dan Scatter Plot)']","Bab ini mengajarkan cara mengolah data mentah menjadi informasi yang bermakna. Siswa akan belajar cara menyajikan data dalam berbagai bentuk diagram, menghitung ukuran pemusatan dan penyebaran data, serta menginterpretasikan hubungan antar variabel melalui grafik lanjutan.","['Analisis Penjualan: Menggunakan Scatter Plot untuk melihat hubungan antara biaya iklan dan jumlah penjualan.', 'Kesehatan: Menggunakan Box Plot untuk melihat distribusi berat badan anak di suatu daerah dan mendeteksi adanya outlier.', 'Survei Kepuasan: Menggunakan Pie Chart untuk melihat persentase tingkat kepuasan pelanggan (Puas, Cukup, Tidak Puas).']","['Representasi Data: Teknik dasar menyajikan data kategori dan numerik menggunakan grafik standar. Fokus pada pemilihan grafik yang tepat agar informasi tidak bias atau menyesatkan.', 'Statistik Deskriptif: Menghitung Central Tendency (Mean, Median, Modus) dan Dispersion (Jangkauan, Kuartil, Simpangan Baku). Menjelaskan kapan harus menggunakan Median daripada Mean jika terdapat data ekstrem.', 'Representasi Data Lanjutan: Pengenalan Box Plot untuk melihat kuartil dan outlier, Histogram untuk melihat distribusi frekuensi, serta Scatter Plot (Diagram Pencar) untuk melihat korelasi antara dua variabel numerik.']","['Manakah diagram yang paling tepat untuk menunjukkan persentase pangsa pasar beberapa merek smartphone?', 'a. Diagram Garis', 'b. Scatter Plot', 'c. Pie Chart (Diagram Lingkaran)', 'd. Histogram', '2.Nilai tengah dari data yang telah diurutkan disebut sebagai...', 'a. Mean', 'b. Median', 'c. Modus', 'd. Varians', 'Jika pada sebuah Scatter Plot titik-titik data membentuk pola garis yang naik dari kiri bawah ke kanan atas, maka terdapat korelasi...', 'a. Negatif', 'b. Positif', 'c. Tidak ada korelasi', 'd. Konstan']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,X,Matematika untuk SMA/MA/SMK/MAK Kelas X (Edisi Revisi),Peluang,"['Distribusi Peluang', 'Aturan Penjumlahan', 'Aturan Perkalian']","Bab ini membahas mengenai kemungkinan terjadinya suatu peristiwa. Siswa akan mempelajari cara menghitung ruang sampel, menentukan peluang suatu kejadian tunggal maupun majemuk, serta memahami bagaimana aturan penjumlahan dan perkalian digunakan untuk menyelesaikan masalah peluang yang lebih kompleks.","['Analisis Risiko: Memprediksi peluang terjadinya gagal bayar (default) pada pinjaman bank.', 'Game Development: Menghitung drop rate item langka dalam sebuah peti harta karun (gacha system).', 'Ramalan Cuaca: Menentukan probabilitas curah hujan berdasarkan data historis cuaca.']","['Distribusi Peluang: Menjelaskan tentang ruang sampel (S) dan kejadian (A). Peluang kejadian A didefinisikan sebagai P(A)=/n(A){n(S). Materi juga mencakup distribusi peluang dari variabel acak diskrit.', 'Aturan Penjumlahan: Digunakan untuk kejadian yang bersifat ""Atau"". Membahas Kejadian Saling Lepas (P(A \\cup B)=P(A)+P(B)) dan Kejadian Tidak Saling Lepas.', 'Aturan Perkalian: Digunakan untuk kejadian yang bersifat ""Dan"". Membahas Kejadian Saling Bebas (P(A \\cap B)=P(A) x P(B)), di mana terjadinya satu kejadian tidak mempengaruhi kejadian lainnya.']","['Dua buah dadu dilempar bersamaan sekali. Peluang munculnya mata dadu berjumlah 5 adalah...', 'a./1{36', 'b./1{9', 'c./1{6', 'd./1{4', 'Jika peluang hari ini hujan adalah 0,3, maka peluang hari ini tidak hujan adalah...', 'a. 0,3', 'b. 0,5', 'c. 0,7', 'd. 1,0', 'Dalam sebuah kotak terdapat 3 bola merah dan 2 bola putih. Jika diambil dua bola satu per satu dengan pengembalian, peluang terambilnya keduanya bola merah adalah...', 'a./9{25', 'b./6{25', 'c./4{25', 'd./3{25']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smamasmkmak-kelas-x-edisi-revisi
SMA,XII,Matematika untuk SMA/SMK/MA Kelas XII,Transformasi Fungsi,"['Translasi', 'Refleksi', 'Dilatasi', 'Rotasi', 'Kombinasi Transformasi Fungsi']","Bab ini membahas perubahan posisi, ukuran, dan orientasi dari grafik suatu fungsi. Siswa akan mempelajari bagaimana memanipulasi persamaan fungsi $f(x)$ untuk menghasilkan grafik baru melalui pergeseran, pencerminan, penskalaan, dan perputaran, serta memahami efek gabungan dari berbagai jenis transformasi tersebut.","['Computer Graphics: Mengatur posisi dan ukuran objek dalam desain grafis atau aset game.', 'Arsitektur: Mendesain pola simetris pada bangunan menggunakan konsep refleksi dan rotasi.', 'Signal Processing: Mengubah frekuensi atau amplitudo gelombang suara (dilatasi) dalam pengeditan audio.']","['Translasi: Pergeseran grafik fungsi sejauh a satuan secara horizontal dan b satuan secara vertikal. Jika y=f(x) ditranslasi oleh (a, b), maka fungsi barunya adalah y-b=f(x-a).', 'Refleksi: Pencerminan grafik fungsi terhadap sumbu X, sumbu Y, atau garis lainnya. Misalnya, refleksi terhadap sumbu X mengubah f(x) menjadi-f(x).', 'Dilatasi: Transformasi yang memperbesar atau memperkecil grafik fungsi. Dilatasi vertikal dinyatakan dengan y=k*f(x), sedangkan horizontal dengan y=f(k*x).', 'Rotasi: Perputaran grafik fungsi terhadap titik pusat tertentu dengan sudut tertentu. Membahas perubahan koordinat titik-titik pada grafik akibat rotasi.', 'Kombinasi Transformasi: Menerapkan lebih dari satu jenis transformasi pada satu fungsi secara berurutan dan menentukan persamaan akhir fungsinya.']","['Jika fungsi f(x)=x^2+2x-3 digeser sejauh 2 satuan ke kanan dan 3 satuan ke atas, maka persamaan fungsi barunya adalah...', 'a. y=(x-2)^2+2(x-2)', 'b. y=(x-2)^2+2(x-2)+3', 'c. y=(x+2)^2+2(x+2)-3', 'd. y=(x-2)^2+2(x-2)-6', 'Hasil refleksi fungsi f(x)=3x+5 terhadap sumbu X adalah...', 'a. y=-3x+5', 'b. y=3x-5', 'c. y=-3x-5', 'd. y=3(-x)+5', 'Grafik fungsi f(x)=|x| mengalami dilatasi vertikal dengan faktor skala 2. Persamaan bayangannya adalah...', 'a. y=|2x|', 'b. y=2|x|', 'c. y=/1{2|x|', 'd. y=|x|+2']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smasmkma-kelas-xii
SMA,XII,Matematika untuk SMA/SMK/MA Kelas XII,Busur dan Juring Lingkaran,"['Busur Lingkaran', 'Juring Lingkaran', 'Hubungan Panjang Busur dan Luas Juring']","Bab ini membahas bagian-bagian dari lingkaran, khususnya garis lengkung (busur) dan daerah luasan yang dibatasi oleh dua jari-jari (juring). Fokus utama materi adalah menghitung panjang busur dan luas juring menggunakan perbandingan sudut pusat terhadap sudut satu putaran penuh ($360^\circ$), serta memahami hubungan proporsional di antara keduanya. ","['Navigasi: Menghitung jarak tempuh kapal atau pesawat yang mengikuti kelengkungan bumi (busur besar).', 'Desain Infrastruktur: Perancangan tikungan jalan raya atau rel kereta api yang menggunakan konsep busur lingkaran.', 'Kuliner & Industri: Pembagian potongan pizza atau kue secara adil berdasarkan sudut pusat (juring).']","['Busur Lingkaran: Bagian dari keliling lingkaran. Panjangnya dihitung dengan rumus: L=/\\theta{360^\\circ x 2pi r.', 'Juring Lingkaran: Daerah yang dibatasi oleh busur dan dua jari-jari. Luasnya dihitung dengan rumus: A=/\\theta{360^\\circ x pi r^2.', 'Hubungan Busur & Juring: Terdapat hubungan perbandingan senilai:/\\text{Panjang Busur AB{\\text{Keliling Lingkaran=/\\text{Luas Juring OAB{\\text{Luas Lingkaran=/\\text{Sudut Pusat{360^\\circ.']","['Sebuah lingkaran memiliki jari-jari 14 cm. Jika sudut pusat sebuah busur adalah 90^\\circ, maka panjang busur tersebut adalah...', 'a. 11 cm', 'b. 22 cm', 'c. 44 cm', 'd. 88 cm', 'Diketahui luas sebuah juring lingkaran adalah 154 \\text{ cm^2 dengan sudut pusat 45^\\circ. Luas seluruh lingkaran tersebut adalah...', 'a. 308 \\text{ cm^2', 'b. 616 \\text{ cm^2', 'c. 1.232 \\text{ cm^2', 'd. 1.540 \\text{ cm^2', 'Jika panjang busur AB adalah 10 cm dan keliling lingkaran adalah 60 cm, maka besar sudut pusat AOB adalah...', 'a. 30^\\circ', 'b. 45^\\circ', 'c. 60^\\circ', 'd. 90^\\circ']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smasmkma-kelas-xii
SMA,XII,Matematika untuk SMA/SMK/MA Kelas XII,Kombinatorika,"['Aturan Pengisian Tempat (Filling Slots)', 'Permutasi', 'Kombinasi', 'Peluang Suatu Kejadian', 'Peluang Kejadian Majemuk', 'Peluang Kejadian Majemuk Saling Bebas Bersyarat']","Bab ini membahas teknik mencacah atau menghitung banyaknya cara penyusunan objek-objek dalam suatu himpunan tanpa harus mendaftarnya satu per satu. Pembahasan dimulai dari prinsip dasar membilang, perbedaan urutan (permutasi vs kombinasi), hingga perhitungan probabilitas untuk kejadian tunggal maupun majemuk yang saling memengaruhi.","['Cybersecurity: Menentukan banyaknya kombinasi password yang mungkin untuk menguji ketahanan sistem.', 'Logistik: Mengoptimalkan rute pengiriman barang (masalah Traveling Salesman) menggunakan prinsip permutasi.', 'Data Analytics: Menghitung probabilitas munculnya churn rate atau perilaku pengguna tertentu berdasarkan data historis.']","['Aturan Pengisian Tempat: Menggunakan prinsip perkalian jika suatu aktivitas terdiri dari beberapa tahap yang berurutan.', 'Permutasi: Penyusunan objek dengan memperhatikan urutan (AB ≠ BA). Rumus: P(n, r)=/n!{(n-r)!.', 'Kombinasi: Penyusunan objek dengan tidak memperhatikan urutan (AB=BA). Rumus: C(n, r)=/n!{r!(n-r)!.', 'Peluang Kejadian Majemuk: Menghitung probabilitas gabungan dua kejadian atau lebih, baik yang saling lepas, tidak saling lepas, maupun saling bebas.', 'Saling Bebas Bersyarat: Peluang terjadinya kejadian B dengan syarat kejadian A telah terjadi sebelumnya (P(B|A)).']","['Banyaknya bilangan yang terdiri dari 3 angka berbeda yang dapat dibentuk dari angka-angka 1, 2, 3, 4, 5, dan 6 adalah...', 'a. 120', 'b. 180', 'c. 216', 'd. 360', 'Dari 10 orang siswa akan dipilih 3 orang untuk menjadi pengurus kelas (Ketua, Sekretaris, Bendahara). Banyaknya cara pemilihan adalah...', 'a. 120', 'b. 360', 'c. 720', 'd. 1.000', 'Dua buah dadu dilambungkan bersama-sama. Peluang muncul mata dadu pertama angka 3 dan mata dadu kedua angka 5 adalah...', 'a./1{6', 'b./1{12', 'c./1{36', 'd./1{18']",https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-smasmkma-kelas-xii
