epoch,loss,accuracy,val_loss,val_accuracy
1,1.1522,0.5894,1.578,0.5347
2,0.6303,0.7543,1.5817,0.5556
3,0.5287,0.8021,1.5801,0.6389
4,0.421,0.8429,1.504,0.6875
5,0.3861,0.8663,1.3845,0.7396
6,0.3986,0.8585,1.1665,0.7882
7,0.3889,0.875,1.0702,0.8021
8,0.3331,0.875,0.8915,0.8438
9,0.3214,0.8854,0.7411,0.8681
10,0.3317,0.8785,0.5165,0.9097
11,0.3513,0.8767,0.3766,0.9201
12,0.3201,0.8854,0.31,0.9306
13,0.31,0.8854,0.3298,0.9201
14,0.3592,0.8689,0.2604,0.941
15,0.3052,0.8993,0.2473,0.941
16,0.3022,0.8906,0.1975,0.9479
17,0.2839,0.9123,0.1869,0.9444
18,0.2691,0.9123,0.181,0.9375
19,0.2882,0.8915,0.1785,0.941
20,0.2576,0.9132,0.1676,0.941
21,0.2667,0.9036,0.179,0.941
22,0.3576,0.8872,0.1927,0.9375
23,0.3104,0.895,0.1897,0.9306
24,0.2408,0.9175,0.1702,0.941
25,0.2193,0.9245,0.1713,0.9618
26,0.2968,0.9002,0.1791,0.9271
27,0.265,0.9097,0.1838,0.9444
28,0.2675,0.9071,0.1922,0.9444
29,0.2564,0.9054,0.1834,0.934
30,0.2291,0.9193,0.1707,0.934
31,0.2217,0.9201,0.1768,0.9375
32,0.2183,0.9323,0.1809,0.9271
33,0.2349,0.9167,0.1901,0.941
34,0.2076,0.9201,0.193,0.9375
35,0.2528,0.9167,0.1847,0.9444
