epoch,loss,accuracy,val_loss,val_accuracy
1,1.3082,0.6163,1.4228,0.7535
2,0.6282,0.7569,1.2543,0.8958
3,0.5257,0.7908,1.1798,0.8056
4,0.5075,0.8099,1.1232,0.7569
5,0.4498,0.8238,1.0663,0.75
6,0.3903,0.855,1.0675,0.7431
7,0.3605,0.8819,0.9391,0.7986
8,0.4026,0.8585,0.7253,0.8611
9,0.3344,0.8707,0.6968,0.8715
10,0.2933,0.8898,0.5348,0.8854
11,0.2695,0.908,0.4139,0.9236
12,0.3057,0.8967,0.2743,0.941
13,0.309,0.8898,0.2229,0.9444
14,0.2541,0.908,0.199,0.9479
15,0.2763,0.895,0.1914,0.9514
16,0.2849,0.8924,0.1895,0.9514
17,0.2934,0.908,0.1867,0.9514
18,0.3069,0.8976,0.1686,0.9618
19,0.2783,0.9045,0.156,0.9444
20,0.2594,0.908,0.168,0.9549
21,0.2848,0.908,0.17,0.941
22,0.3118,0.895,0.1603,0.9444
23,0.2495,0.908,0.1538,0.9514
24,0.2142,0.9314,0.1571,0.9444
25,0.244,0.9184,0.1619,0.9514
26,0.2662,0.9062,0.1882,0.9306
27,0.2664,0.9071,0.1647,0.9375
28,0.198,0.9401,0.1844,0.9444
29,0.2683,0.9158,0.1979,0.9306
30,0.2207,0.9219,0.1864,0.9375
31,0.216,0.9253,0.1773,0.9306
32,0.1833,0.9384,0.1742,0.9375
33,0.234,0.921,0.1871,0.9306
34,0.1886,0.9323,0.1785,0.9444
35,0.2168,0.9314,0.1693,0.941
36,0.2342,0.9184,0.1876,0.934
37,0.2711,0.9149,0.188,0.9306
38,0.2291,0.9167,0.1905,0.9271
